Id,MSSubClass,MSZoning,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,SaleType,SaleCondition,GarageAge,HouseAge,RemodelAge,TotalBathrooms,TotalRooms,TotalSF,GarageAreaCars,OverallQualCond,BsmtQualCond,TotalFloorsSF,HasPool,HasGarage,HasBasement,HasFireplace,HasWoodDeck,HasOpenPorch,HasEnclosedPorch,HasScreenPorch,QualToAgeRatio
1461,20,RH,Reg,Lvl,Inside,NAmes,Feedr,Norm,1Fam,1Story,5,6,49,49,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,LwQ,882.0,GasA,TA,Y,SBrkr,896,896,0.0,1,0,2,1,TA,5,Typ,0,Gd,Attchd,49,Unf,1.0,730.0,TA,TA,Y,0,WD,Normal,49,1961,1961,1.0,887.0,1778.0,730.0,30,TA_TA,896,0,1,1,0,1,0,0,1,0.0025484199796126403
1462,20,RL,IR1,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,6,52,52,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1329.0,GasA,TA,Y,SBrkr,1329,1329,0.0,1,1,3,1,Gd,6,Typ,0,Gd,Attchd,52,Unf,1.0,312.0,TA,TA,Y,0,WD,Normal,52,1958,1958,1.5,1335.0,2658.0,312.0,36,TA_TA,1329,0,1,1,0,1,1,0,0,0.0030627871362940277
1463,60,RL,IR1,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,5,5,13,12,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,928.0,GasA,Gd,Y,SBrkr,928,1629,0.0,2,1,3,1,TA,6,Typ,1,TA,Attchd,13,Fin,2.0,482.0,TA,TA,Y,0,WD,Normal,13,1997,1998,2.5,934.0,2557.0,964.0,25,Gd_TA,1629,0,1,1,1,1,1,0,0,0.0025025025025025025
1464,60,RL,IR1,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,6,12,12,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,926.0,GasA,Ex,Y,SBrkr,926,1604,0.0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,12,Fin,2.0,470.0,TA,TA,Y,0,WD,Normal,12,1998,1998,2.5,933.0,2530.0,940.0,36,TA_TA,1604,0,1,1,1,1,1,0,0,0.0030015007503751876
1465,120,RL,IR1,HLS,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,18,18,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,1280.0,GasA,Ex,Y,SBrkr,1280,1280,0.0,2,0,2,1,Gd,5,Typ,0,Gd,Attchd,18,RFn,2.0,506.0,TA,TA,Y,0,WD,Normal,18,1992,1992,2.0,1285.0,2560.0,1012.0,40,Gd_TA,1280,0,1,1,0,0,1,0,1,0.004014049172102358
1466,60,RL,IR1,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,5,17,16,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,763.0,GasA,Gd,Y,SBrkr,763,1655,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,17,Fin,2.0,440.0,TA,TA,Y,0,WD,Normal,17,1993,1994,2.5,770.0,2418.0,880.0,30,Gd_TA,1655,0,1,1,1,1,1,0,0,0.003009027081243731
1467,20,RL,IR1,Lvl,Inside,Gilbert,Norm,Norm,1Fam,1Story,6,7,18,3,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,1168.0,GasA,Ex,Y,SBrkr,1187,1187,1.0,2,0,3,1,TA,6,Typ,0,Gd,Attchd,18,Fin,2.0,420.0,TA,TA,Y,0,WD,Normal,18,1992,2007,3.0,1174.0,2355.0,840.0,42,Gd_TA,1187,0,1,1,0,1,1,0,0,0.0030105368790767687
1468,60,RL,IR1,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,5,12,12,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,789.0,GasA,Gd,Y,SBrkr,789,1465,0.0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,12,Fin,2.0,393.0,TA,TA,Y,0,WD,Normal,12,1998,1998,2.5,796.0,2254.0,786.0,30,Gd_TA,1465,0,1,1,1,0,1,0,0,0.0030015007503751876
1469,20,RL,Reg,Lvl,Inside,Gilbert,Norm,Norm,1Fam,1Story,7,5,20,20,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,1300.0,GasA,Gd,Y,SBrkr,1341,1341,1.0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,20,Unf,2.0,506.0,TA,TA,Y,0,WD,Normal,20,1990,1990,2.5,1305.0,2641.0,1012.0,35,Gd_TA,1341,0,1,1,1,1,0,0,0,0.0035158211953792064
1470,20,RL,Reg,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,4,5,40,40,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Rec,882.0,GasA,TA,Y,SBrkr,882,882,1.0,1,0,2,1,TA,4,Typ,0,Gd,Attchd,40,Fin,2.0,525.0,TA,TA,Y,0,WD,Normal,40,1970,1970,2.0,886.0,1764.0,1050.0,20,TA_TA,882,0,1,1,0,1,0,0,0,0.0020294266869609334
1471,120,RH,IR1,Lvl,FR2,NAmes,Norm,Norm,TwnhsE,1Story,7,5,11,11,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,BLQ,1405.0,GasA,Ex,Y,SBrkr,1337,1337,1.0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,11,Fin,2.0,511.0,TA,TA,Y,0,WD,Normal,11,1999,1999,3.0,1410.0,2742.0,1022.0,35,Gd_TA,1337,0,1,1,1,1,1,0,0,0.0035
1472,160,RM,Reg,Lvl,Inside,BrDale,Norm,Norm,Twnhs,2Story,6,5,39,39,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,483.0,GasA,TA,Y,SBrkr,483,987,0.0,1,1,2,1,TA,5,Typ,0,Gd,Detchd,39,Unf,1.0,264.0,TA,TA,Y,0,COD,Normal,39,1971,1971,1.5,488.0,1470.0,264.0,30,TA_TA,987,0,1,1,0,1,0,0,0,0.0030425963488843813
1473,160,RM,Reg,Lvl,Inside,BrDale,Norm,Norm,Twnhs,2Story,5,5,39,39,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,525.0,GasA,TA,Y,SBrkr,525,1092,0.0,1,1,3,1,TA,6,Typ,0,Gd,Detchd,13,Unf,1.0,320.0,TA,TA,Y,0,WD,Normal,13,1971,1971,1.5,531.0,1617.0,320.0,25,TA_TA,1092,0,1,1,0,0,0,0,0,0.002535496957403651
1474,160,RL,Reg,Lvl,FR2,NPkVill,Norm,Norm,Twnhs,2Story,6,6,35,35,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,855.0,GasA,TA,Y,SBrkr,855,1456,0.0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,35,Unf,2.0,440.0,TA,TA,Y,0,WD,Normal,35,1975,1975,2.5,861.0,2311.0,880.0,36,TA_TA,1456,0,1,1,1,1,0,0,0,0.003036437246963563
1475,120,RL,Reg,Lvl,FR2,NPkVill,Norm,Norm,Twnhs,1Story,7,6,35,35,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,Unf,836.0,GasA,Ex,Y,SBrkr,836,836,0.0,1,0,2,1,TA,4,Typ,0,Gd,Attchd,35,Unf,1.0,308.0,TA,TA,Y,0,WD,Normal,35,1975,1975,1.0,840.0,1672.0,308.0,42,Gd_TA,836,0,1,1,0,0,1,0,0,0.00354251012145749
1476,60,RL,IR1,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,5,1,0,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,Unf,1590.0,GasA,Ex,Y,SBrkr,1627,2334,0.0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,1,Fin,3.0,751.0,TA,TA,Y,0,New,Partial,1,2009,2010,2.5,1600.0,3924.0,2253.0,45,Ex_TA,2334,0,1,1,1,1,1,0,0,0.004477611940298508
1477,20,RL,IR1,Lvl,Corner,NridgHt,Norm,Norm,1Fam,1Story,8,5,1,0,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1544.0,GasA,Ex,Y,SBrkr,1544,1544,0.0,2,0,3,1,Gd,7,Typ,0,Gd,Attchd,1,RFn,3.0,868.0,TA,TA,Y,0,New,Partial,1,2009,2010,2.0,1551.0,3088.0,2604.0,40,Gd_TA,1544,0,1,1,0,0,1,0,0,0.003980099502487562
1478,20,RL,Reg,Lvl,Inside,NridgHt,PosN,Norm,1Fam,1Story,9,5,5,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1698.0,GasA,Ex,Y,SBrkr,1698,1698,0.0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,5,Fin,3.0,730.0,TA,TA,Y,0,WD,Normal,5,2005,2005,2.0,1705.0,3396.0,2190.0,45,Ex_TA,1698,0,1,1,1,1,1,0,0,0.00448654037886341
1479,20,RL,IR1,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,5,5,4,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1822.0,GasA,Ex,Y,SBrkr,1822,1822,0.0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,5,RFn,3.0,678.0,TA,TA,Y,0,WD,Normal,5,2005,2006,2.0,1830.0,3644.0,2034.0,40,Ex_TA,1822,0,1,1,1,0,1,0,0,0.003988035892323031
