Id,MSSubClass,MSZoning,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,SaleType,SaleCondition,GarageAge,HouseAge,RemodelAge,TotalBathrooms,TotalRooms,TotalSF,GarageAreaCars,OverallQualCond,BsmtQualCond,TotalFloorsSF,HasPool,HasGarage,HasBasement,HasFireplace,HasWoodDeck,HasOpenPorch,HasEnclosedPorch,HasScreenPorch,QualToAgeRatio
1,60,RL,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,5,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,856,GasA,Ex,Y,SBrkr,856,1710,1,2,1,3,1,Gd,8,Typ,0,Gd,Attchd,5,RFn,2,548,TA,TA,Y,0,WD,Normal,5,2003,2003,3.5,864,2566,1096,35,Gd_TA,1710,0,1,1,0,0,1,0,0,0.003493013972055888
2,20,RL,Reg,Lvl,FR2,Veenker,Feedr,Norm,1Fam,1Story,6,8,31,31,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,1262,GasA,Ex,Y,SBrkr,1262,1262,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,31,RFn,2,460,TA,TA,Y,0,WD,Normal,31,1976,1976,2.5,1268,2524,920,48,Gd_TA,1262,0,1,1,1,1,0,0,0,0.0030349013657056147
3,60,RL,IR1,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,7,6,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,920,GasA,Ex,Y,SBrkr,920,1786,1,2,1,3,1,Gd,6,Typ,1,TA,Attchd,7,RFn,2,608,TA,TA,Y,0,WD,Normal,7,2001,2002,3.5,926,2706,1216,35,Gd_TA,1786,0,1,1,1,0,1,0,0,0.0034965034965034965
4,70,RL,IR1,Lvl,Corner,Crawfor,Norm,Norm,1Fam,2Story,7,5,91,36,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,756,GasA,Gd,Y,SBrkr,961,1717,1,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,8,Unf,3,642,TA,TA,Y,0,WD,Abnorml,8,1915,1970,2.0,763,2473,1926,35,TA_Gd,1717,0,1,1,1,0,1,1,0,0.0036534446764091857
5,60,RL,IR1,Lvl,FR2,NoRidge,Norm,Norm,1Fam,2Story,8,5,8,8,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1145,GasA,Ex,Y,SBrkr,1145,2198,1,2,1,4,1,Gd,9,Typ,1,TA,Attchd,8,RFn,3,836,TA,TA,Y,0,WD,Normal,8,2000,2000,3.5,1154,3343,2508,40,Gd_TA,2198,0,1,1,1,1,1,0,0,0.00399800099950025
6,50,RL,IR1,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,16,14,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,Unf,796,GasA,Ex,Y,SBrkr,796,1362,1,1,1,1,1,TA,5,Typ,0,Gd,Attchd,16,Unf,2,480,TA,TA,Y,0,WD,Normal,16,1993,1995,2.5,801,2158,960,25,Gd_TA,1362,0,1,1,0,1,1,0,0,0.0025075225677031092
7,20,RL,Reg,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,3,2,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,1686,GasA,Ex,Y,SBrkr,1694,1694,1,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,3,RFn,2,636,TA,TA,Y,0,WD,Normal,3,2004,2005,3.0,1693,3380,1272,40,Ex_TA,1694,0,1,1,1,1,1,0,0,0.00399002493765586
8,60,RL,IR1,Lvl,Corner,NWAmes,PosN,Norm,1Fam,2Story,7,6,36,36,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,1107,GasA,Ex,Y,SBrkr,1107,2090,1,2,1,3,1,TA,7,Typ,2,TA,Attchd,36,RFn,2,484,TA,TA,Y,0,WD,Normal,36,1973,1973,3.5,1114,3197,968,42,Gd_TA,2090,0,1,1,1,1,1,1,0,0.0035460992907801418
9,50,RM,Reg,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,77,58,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,952,GasA,Gd,Y,FuseF,1022,1774,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,77,Unf,2,468,Fa,TA,Y,0,WD,Abnorml,77,1931,1950,2.0,960,2726,936,35,TA_TA,1774,0,1,1,1,1,0,1,0,0.0036231884057971015
10,190,RL,Reg,Lvl,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,69,58,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,991,GasA,Ex,Y,SBrkr,1077,1077,1,1,0,2,2,TA,5,Typ,2,TA,Attchd,69,RFn,1,205,Gd,TA,Y,0,WD,Normal,69,1939,1950,2.0,996,2068,205,30,TA_TA,1077,0,1,1,1,0,1,0,0,0.002577319587628866
